Bluetooth	Width	Height	Thick	Weight	Memory card	OS	SoC	Wi-Fi	GPU core	CPU core	SIM type	Number of SIM cards	USB type	USB version	Position tracking	Display size	Display resolution	Display color depth	Image resolution	Video resolution	FPS	Battery type	Battery power	RAM	Storage	Price range
1	71.8	140.7	9.95		micro	Android	mediatek	1	1	4	Micro	1.0 cards	Micro USB	version 2.0	1	5.0	0.4	24	5.0	0.9	30.0	Li-Polymer	2050.0	1.0	8.0	0
1	77.7	151.8	9.4	181.0	micro	Android	qualcomm	1	No info	4	Micro	1.0 cards	Micro USB	version 2.0	1	5.5	0.9	24	5.0	0.9	30.0	Li-Polymer	2500.0	1.0	8.0	0
1	83.8	165.1	8.4	186.0	micro	Android	qualcomm	1	No info	4	Micro	1.0 cards	Micro USB	version 2.0	1	6.0	0.9	24	8.0	0.9	30.0	Li-Ion	2580.0	2.0	16.0	0
1	71.2	141.5	7.45	156.0	micro	Android	mediatek	1	1	4	No info	1.0 cards	Micro USB	version 2.0	1	5.0	0.9	24	13.0	0.9	30.0	Li-Polymer	2460.0	2.0	16.0	0
1	77.0	150.9	8.1	163.0	micro	Android	qualcomm	1	No info	4	Nano	1.0 cards	Micro USB	version 2.0	1	5.5	0.9	24	8.0	0.9	30.0	Li-Polymer	2500.0	2.0	16.0	0
1	71.5	141.0	9.9	167.0	micro	Android	qualcomm	1	No info	4	Micro	1.0 cards	Micro USB	version 2.0	1	5.0	0.4	24	5.0	0.9	30.0	Li-Ion	2000.0	1.0	8.0	0
1	65.1	132.2	10.05	136.0	micro	Android	qualcomm	1	No info	4	Micro	1.0 cards	Micro USB	version 2.0	1	4.5	0.4	24	5.0	0.9	30.0	Li-Ion	1780.0	1.0	8.0	0
1	77.84	151.9	9.45	174.0	micro	Android	qualcomm	1	No info	4	Micro	1.0 cards	Micro USB	version 2.0	1	5.5	0.9	24	8.0	0.9	30.0	Li-Ion	2500.0	1.5	16.0	0
1	192.0	110.0	9.4	295.0	micro	Android	qualcomm	1	No info	4	No info	1.0 cards	Micro USB	version 2.0	1	7.0	0.6	24	5.0	0.9	30.0	Li-Polymer	3240.0	1.0	8.0	0
1	71.4	140.7	7.99	134.0	micro	Android	qualcomm	1	No info	4	Micro	1.0 cards	Micro USB	version 2.0	1	5.0	0.9	24	8.0	0.9	30.0	Li-Ion	2500.0	1.0	8.0	0
1	72.5	147.0	7.1	135.0	micro	Android	qualcomm	1	No info	8	Nano	1.0 cards	Micro USB	version 2.0	1	5.2	2.1	24	13.0	2.1	30.0	Li-Ion	2610.0	3.0	16.0	0
1	66.0	133.5	9.9	136.0	micro	Android	qualcomm	1	No info	4	Micro	1.0 cards	Micro USB	version 2.0	1	4.5	0.4	24	5.0	0.9	30.0	Li-Ion	2000.0	1.0	8.0	0
1	65.28	133.6	9.9	145.0	micro	Android	mediatek	1	2	4	Micro	1.0 cards	Micro USB	version 2.0	1	4.5	0.5	24	4.9	2.1	30.0	Li-Ion	2000.0	1.0	4.0	0
1	75.14	152.7	7.4	140.0	micro	Android	qualcomm	1	No info	8	Micro	1.0 cards	Micro USB	version 2.0	1	5.5	2.1	24	13.0	2.1	30.0	Li-Polymer	2910.0	2.0	16.0	0
1	65.1	132.2	9.95	125.0	micro	Android	mediatek	1	1	4	Micro	1.0 cards	Micro USB	version 2.0	1	4.5	0.4	24	8.0	0.9	30.0	Li-Ion	1780.0	1.0	8.0	0
1	65.1	132.2	11.7	125.0	micro	Android	mediatek	1	1	2	Micro	1.0 cards	Micro USB	version 2.0	1	4.5	0.4	24	8.0	0.9	30.0	Li-Ion	1400.0	0.5	4.0	0
1	71.9	141.0	9.9	149.0	micro	Android	qualcomm	1	No info	4	Micro	1.0 cards	Micro USB	version 2.0	1	5.0	0.5	18	5.0	0.9	30.0	Li-Ion	2000.0	1.0	4.0	0
1	64.4	121.6	12.05	110.0	micro	Android	mediatek	1	1	2	Micro	1.0 cards	Micro USB	version 2.0	1	4.0	0.4	18	5.0	0.3	30.0	Li-Ion	1400.0	0.5	4.0	0
1	64.4	121.5	12.35	125.0	micro	Android	qualcomm	1	No info	4	Micro	1.0 cards	Micro USB	version 2.0	1	4.0	0.4	24	8.0	0.9	30.0	Li-Ion	2000.0	1.0	4.0	0
1	192.0	110.0	9.95	285.0	micro	Android	mediatek	1	No info	2	No info	nan cards	Micro USB	version 2.0	0	7.0	0.5	24	0.3	0.3	30.0	Li-Ion	2840.0	0.5	4.0	0
1	69.7	136.5	7.45	126.0	micro	Android	qualcomm	1	1	4	Micro	1.0 cards	Micro USB	version 2.0	1	5.0	0.9	24	8.0	2.1	30.0	Li-Ion	2150.0	1.0	8.0	0
1	71.8	141.0	9.9	162.0	micro	Android	mediatek	1	2	4	Micro	1.0 cards	Micro USB	version 2.0	1	5.0	0.4	24	3.7	0.9	30.0	Li-Ion	2000.0	1.0	4.0	0
1	64.0	121.5	11.8	136.0	micro	Android	mediatek	1	No info	1	Micro	1.0 cards	Micro USB	version 2.0	1	4.0	0.4	24	5.0	0.9	30.0	Li-Ion	1400.0	0.5	4.0	0
1	67.5	140.4	6.9	130.0	micro	Android	mediatek	1	1	4	Micro	1.0 cards	Micro USB	version 2.0	1	5.0	2.1	24	13.1	2.1	30.0	Li-Ion	2000.0	2.0	8.0	0
1	68.5	134.4	6.5	115.0	No info	Android	mediatek	1	No info	2	Micro	1.0 cards	Micro USB	version 2.0	1	4.65	0.9	24	8.0	2.1	30.0	Li-Ion	1800.0	1.0	16.0	0
1	62.3	115.0	12.2	118.0	micro	Android	mediatek	1	No info	1	Mini	1.0 cards	Micro USB	version 2.0	1	3.5	0.2	18	3.1	0.3		Li-Ion	1400.0	0.25		0
1	57.6	110.0	12.5	114.0	micro	Android	mediatek	1	No info	1	Mini	1.0 cards	Micro USB	version 2.0	1	2.8	0.1	18	1.9	0.4	30.0	Li-Ion	1300.0	0.25	0.15	0
1	75.7	157.7	8.8	168.0	micro	Android	mediatek	1	2	8	Nano	2.0 cards	Micro USB	version 2.0	1	5.99	0.5	24	15.9	2.1	30.0	Li-Polymer	3800.0	4.0	64.0	0
1					micro	Android	mediatek	1	2	4	Micro	2.0 cards	Micro USB	version 2.0	1	5.99	0.5	24	8.0	0.9	30.0	Li-Polymer	5500.0	2.0	16.0	0
1	70.6	147.5	9.8		micro	Android	mediatek	1	2	4	Micro	2.0 cards	Micro USB	version 2.0	1	5.5	0.5	24	8.0	0.9	30.0	Li-Polymer	2850.0	1.0	8.0	0
1	70.2	147.5	10.8	210.0	micro	Android	mediatek	1	2	4	Micro	2.0 cards	Micro USB	version 2.0	1	5.5	0.5	24	8.0	0.9	30.0	Li-Polymer	5000.0	2.0	16.0	0
1	76.4	156.3	7.9	190.0	micro	Android	mediatek	1	2	8	Nano	2.0 cards	USB Type-C	version 2.0	1	5.99	2.3	24	15.9	2.1	30.0	Li-Polymer	3500.0	6.0	64.0	0
1	76.2	154.7	8.8	180.0	micro	Android	mediatek	1	2	4	Micro	2.0 cards	Micro USB	version 2.0	1	5.5	0.9	24	8.0	0.9	30.0	Li-Polymer	2600.0	1.0	8.0	0
1	72.8	148.0	8.5	152.0	micro	Android	mediatek	1	1	4	Micro	2.0 cards	Micro USB	version 2.0	1	5.2	0.9	24	8.0	0.9	30.0	Li-Polymer	2100.0	2.0	16.0	0
1	71.0	144.0	7.9	144.0	micro	Android	mediatek	1	2	4	Nano	2.0 cards	Micro USB	version 2.0	1	5.0	0.9	24	8.0	0.9	30.0	Li-Polymer	2300.0	1.0	8.0	0
1	77.0	155.8	9.6	220.0	micro	Android	mediatek	1	1	4	Nano	2.0 cards	Micro USB	version 2.0	1	5.5	0.9	24	8.0	0.9	30.0	Li-Polymer	3200.0	2.0	16.0	0
1					micro	Android	mediatek	1	2	4	Nano	2.0 cards	Micro USB	version 2.0	1	5.0	0.9	24	8.0	0.9	30.0	Li-Polymer	2700.0	1.0	16.0	0
1	71.06	142.3	8.2	162.0	micro	Android	mediatek	1	2	4	Nano	2.0 cards	Micro USB	version 2.0	1	5.0	0.9	24	8.0	2.1	30.0	Li-Polymer	2400.0	1.0	16.0	0
1	241.3	171.1	8.9	510.0	micro	Android	mediatek	1	2	4	No info	nan cards	Micro USB	version 2.0	1	10.1	2.3	24	5.0			Li-Polymer	6600.0	3.0	32.0	0
1	215.0	122.9	8.9	345.0	micro	Android	mediatek	1	2	4	No info	nan cards	Micro USB	version 2.0	1	8.0	1.0	24	5.0	0.9	30.0	Li-Polymer	5500.0	2.0	32.0	0
1	241.3	171.7	8.7	510.0	micro	Android	mediatek	1	4	No info	Micro	2.0 cards	Micro USB	version 2.0	1	10.1	4.1	24	5.0	2.1	30.0	Li-Polymer	6600.0	4.0	64.0	0
1	241.0	171.0	8.7	510.0	micro	Android	mediatek	1	4	No info	Micro	2.0 cards	Micro USB	version 2.0	1	10.1	2.3	24	5.0	2.1	30.0	Li-Polymer	6600.0	3.0	32.0	0
1	215.0	122.9	8.48	345.0	micro	Android	mediatek	1	4	No info	Micro	2.0 cards	Micro USB	version 2.0	1	8.0	2.3	24	5.0	2.1	15.0	Li-Polymer	5500.0	3.0	32.0	0
1	241.3	171.7	8.7	510.0	micro	Android	mediatek	1	4	No info	Micro	2.0 cards	Micro USB	version 2.0	1	10.1	2.3	24	5.0	2.1	30.0	Li-Polymer	6600.0	3.0	32.0	0
1	241.3	171.7	9.3	540.0	micro	Android	mediatek	1	4	No info	Micro	2.0 cards	Micro USB	version 2.0	1	10.1	4.1	24	5.0	2.1	30.0	Li-Polymer	6500.0	4.0	64.0	0
1	243.68	173.14	6.9	496.0	micro	Android	mediatek	1	2	6	No info	nan cards	USB Type-C	version 3.0	0	10.5	4.1	24	8.0	2.1	30.0	Li-Ion	8000.0	4.0	64.0	0
1	218.0	126.0	7.8	356.0	micro	Android	mediatek	1	4	No info	Nano	2.0 cards	USB Type-C	version 2.0	1	8.4	4.1	24	13.0	2.1	30.0	Li-Polymer	4500.0	4.0	64.0	0
1	289.0	189.0	8.0	766.0	micro	Microsoft	intel	1	2	4	No info	nan cards	USB Type-C	version 2.0	0	11.6	2.1	24	5.0	0.9	30.0	Li-Polymer	4000.0	6.0	128.0	0
1	240.0	166.0	8.6	521.0	micro	Android	mediatek	1	3	8	Nano	2.0 cards	USB Type-C	version 2.0	1	10.1	2.3	24	5.0			Li-Polymer	8000.0	2.0	32.0	0
1	200.0	140.0	10.0	200.0	micro	Android	mediatek	1	3	8	Micro	2.0 cards	Micro USB	version 2.0	1	8.0	2.3	24	13.0			Li-Polymer	3800.0	3.0	32.0	0
1	228.0	144.0	8.3	366.0	micro	Android	mediatek	1	2	4	No info	nan cards	USB Type-C	version 2.0	0	8.9	4.1	24	13.0	0.9	30.0	Li-Polymer	5500.0	4.0	64.0	0
1	196.0	137.0	9.0	330.0	micro	Android	mediatek	1	2	4	No info	nan cards	Micro USB	version 2.0	0	7.85	0.8	24	1.9			Li-Polymer	3500.0	1.0	8.0	0
1	267.7	168.0	9.53	600.0	micro	Android	mediatek	1	2	4	No info	nan cards	Micro USB	version 2.0	0	10.6	2.1	24	1.9			Li-Polymer	6000.0	2.0	32.0	0
1	268.0	168.0	8.3	530.0	micro	Android	mediatek	1	3	8	Micro	1.0 cards	Micro USB	version 2.0	1	10.1	2.3	24	13.0			Li-Polymer	6500.0	3.0	32.0	0
1	240.0	165.0	8.0	538.0	micro	Android	mediatek	1	3	8	Micro	1.0 cards	Micro USB	version 2.0	1	10.1	2.3	24	8.0	0.9	30.0	Li-Polymer	6500.0	2.0	32.0	0
1	273.0	172.0	9.6	686.0	micro	Microsoft	intel	1	No info	2	No info	nan cards	USB Type-C	version 2.0	0	10.6	2.1	24	5.0	0.9	30.0	Li-Polymer	4300.0	4.0	128.0	1
1	299.6	180.6	10.2	740.0	micro	Microsoft	intel	1	2	4	No info	nan cards	Micro USB	version 2.0	0	11.6	2.1	24				Li-Polymer	8500.0	4.0	64.0	0
1	227.0	161.0	8.8	482.0	micro	Android	mediatek	1	2	4	Mini	2.0 cards	Micro USB	version 2.0	1	9.6	1.0	24	1.9			Li-Polymer	4500.0	1.0	16.0	0
1	215.0	122.9	9.85	354.0	micro	Android	mediatek	1	3	8	Micro	2.0 cards	Micro USB	version 2.0	1	8.0	2.3	24	4.9	0.9	30.0	Li-Polymer	4000.0	2.0	16.0	0
1	214.0	128.0	9.2	341.0	micro	Android	mediatek	1	2	4	No info	nan cards	Micro USB	version 2.0	0	8.0	1.0	24	1.9	0.9	30.0	Li-Polymer	4750.0	1.5	16.0	0
1	262.0	159.0	9.8	500.0	micro	Android	mediatek	1	2	4	No info	nan cards	Micro USB	version 2.0	0	10.1	2.3	24	1.9	0.9	30.0	Li-Polymer	6300.0	2.0	32.0	0
1	192.0	115.0	9.6	295.0	micro	Android	mediatek	1	4	4	No info	nan cards	Micro USB	version 2.0	0	7.0	0.6	24	1.9	0.9	30.0	Li-Polymer	2980.0	1.0	8.0	0
1	214.0	128.0	9.2	341.0	micro	Android	mediatek	1	2	4	No info	nan cards	Micro USB	version 2.0	0	8.0	1.0	24	1.9	0.9	30.0	Li-Polymer	4750.0	1.5	16.0	0
1	262.0	159.0	7.7	432.0	micro	Android	mediatek	1	2	4	No info	nan cards	Micro USB	version 2.0	0	10.1	1.0	24	5.0	2.1	30.0	Li-Polymer		1.0	16.0	0
1	66.5	139.2	8.9	160.0	No info	Android	qualcomm	1	4	4	Nano	1.0 cards	Micro USB	version 2.0	1	4.7	0.9	24	12.8	2.1	30.0	Li-Polymer	2400.0	2.0	32.0	0
1	191.0	128.0	10.6	345.0	No info	Android	texas	1	No info	2	No info	nan cards	Micro USB	version 2.0	0	7.0	1.0	No info				Li-Polymer	4440.0	1.0	8.0	0
1	187.5	103.0	8.7	255.0	micro	Android	mediatek	1	2	4	Mini	2.0 cards	Micro USB	version 2.0	1	6.95	0.9	24	5.0	0.9	30.0	Li-Polymer	3500.0	0.5	8.0	0
1	77.8	158.0	8.1	226.0	No info	iOS	apple	1	No info	No info	Nano	1.0 cards	No info	version 2.0	1	6.5	3.3	24	12.2	8.3	60.0	Li-Ion	3500.0	6.0	256.0	3
1	71.4	144.0	8.1	188.0	No info	iOS	apple	1	No info	No info	Nano	1.0 cards	No info	version 2.0	1	5.8	2.7	24	12.2	8.3	60.0	Li-Ion	3190.0	6.0	256.0	3
1	75.7	150.9	8.3	194.0	No info	iOS	apple	1	No info	No info	Nano	1.0 cards	No info	version 2.0	1	6.1	1.5	24	12.2	8.3	60.0	Li-Ion	3110.0	4.0	128.0	2
1	250.6	174.1	6.1	456.0	No info	iOS	apple	1	4	6	No info	nan cards	No info	version 2.0	0	10.5	3.7	24	8.0	2.1	30.0	Li-Ion		3.0	64.0	1
1	250.6	174.1	6.1	464.0	No info	iOS	apple	1	4	6	Nano	1.0 cards	No info	version 2.0	1	10.5	3.7	24	8.0	2.1	30.0	Li-Ion		3.0	64.0	1
1	203.2	134.8	6.1	300.0	No info	iOS	apple	1	4	6	No info	nan cards	No info	version 2.0	0	7.9	3.1	24	8.0	2.1	30.0	Li-Ion	5124.0	3.0	64.0	1
1	203.2	134.8	6.1	308.0	No info	iOS	apple	1	4	6	Nano	1.0 cards	No info	version 2.0	1	7.9	3.1	24	8.0	2.1	30.0	Li-Ion	5124.0	3.0	64.0	1
1	280.6	214.9	5.9	631.0	No info	iOS	apple	1	7	8	No info	nan cards	USB Type-C	version 2.0	0	12.9	5.6	24	12.2	8.3	60.0	Li-Ion	9720.0	6.0	256.0	3
1	280.6	214.9	5.9	633.0	No info	iOS	apple	1	7	8	Nano	1.0 cards	USB Type-C	version 2.0	1	12.9	5.6	24	12.2	8.3	60.0	Li-Ion	9720.0	6.0	256.0	3
