Brand	Name	Dim	Weight	Bat	Blue	CPU	Cam	Cores	Dis	GPU	Memory card	OS	Pos	RAM	SIM	SoC	Storage	USB	Wi-Fi	Average price
Elite	x3	83.5 x 161.8 x 7.8 mm	195 g	4150 mAh, Li-Polymer	4.0	2x 2.15 GHz Kryo, 2x 1.6 GHz Kryo, Cores: 4	4608 x 3456 pixels, 3840 x 2160 pixels, 30 fps	No info	5.96 in, AMOLED, 1440 x 2560 pixels, 24 bit	Qualcomm Adreno 530, 624 MHz	microSD, microSDHC, microSDXC	Microsoft Windows 10	GPS, A-GPS, GLONASS, BeiDou	4 GB, 1866 MHz	Nano-SIM, Nano-SIM / microSD	Qualcomm Snapdragon 820 MSM8996	64 GB	3.0, USB Type-C	a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct	899.00
10	EE	280 x 182 x 14.4 mm	850 g	8380 mAh, Li-Polymer	4.0	Intel Bay Trail, 1830 MHz, Cores: 4	2592 x 1944 pixels, 1920 x 1080 pixels, 30 fps	No info	10.1 in, IPS, 1280 x 800 pixels, 24 bit	Intel HD Graphics	microSD, microSDHC	Microsoft Windows 8.1 Pro	GPS, A-GPS	1 GB, 2 GB	No info	Intel Atom Z3735G/F	16 GB, 32 GB	2.0, Micro USB	a, b, g, n, Wi-Fi Hotspot, Wi-Fi Direct	169.10
10	EE	280 x 182 x 14.4 mm	855 g	Li-Polymer	4.0	Intel Bay Trail, 1830 MHz, Cores: 4	2592 x 1944 pixels, 1920 x 1080 pixels, 30 fps	No info	10.1 in, IPS, 1280 x 800 pixels, 24 bit	Intel HD Graphics	microSD, microSDHC	Android 4.4 KitKat	GPS, A-GPS	1 GB, 2 GB	No info	Intel Atom Z3735G/F	16 GB, 32 GB	2.0, Micro USB	a, b, g, n, Wi-Fi Direct	89.00
7	Plus	192.53 x 121.92 x 8.13 mm	295 g	2800 mAh, Li-Polymer	No info	ARM Cortex-A7, 1000 MHz, Cores: 4	1600 x 1200 pixels	No info	7 in, IPS, 1024 x 600 pixels, 24 bit	PowerVR SGX544 MP2, Cores: 2	microSD, microSDHC, microSDXC	Android 4.2.2 Jelly Bean	No info	1 GB	No info	Allwinner A31	8 GB	2.0, Micro USB	b, g, n	100.95
1000	G2	261 x 178 x 9.2 mm	680 g	Li-Polymer	4.0	Intel Silvermont, 1600 MHz, Cores: 4	3264 x 2448 pixels, 1920 x 1080 pixels, 30 fps	No info	10.1 in, IPS, 1920 x 1200 pixels, 24 bit	Intel Gen 7, Cores: 1	microSD, microSDHC, microSDXC	Microsoft Windows 8.1 Pro	No info	4 GB, 1067 MHz	No info	Intel Atom Z3795	64 GB, 128 GB	2.0, Micro USB	a, b, g, n	277.24
iPAQ	Glisten	62.8 x 112.8 x 13.4 mm	132 g	1590 mAh, Li-Polymer	2.0	ARM1136EJ-S, 533 MHz, Cores: 1	2048 x 1536 pixels, 320 x 240 pixels	No info	2.5 in, AMOLED, 320 x 240 pixels, 18 bit	No info	microSD, microSDHC	Microsoft Windows Mobile 6.5 Professional	GPS, A-GPS	256 MB	Mini-SIM	Qualcomm MSM7200	No info	2.0, Micro USB	b, g	60.00
Desire	19s	74.8 x 156.2 x 8.47 mm	170 g	3850 mAh, Li-Polymer	5.0	4x 2.0 GHz ARM Cortex-A53, 4x 1.5 GHz ARM Cortex-A53, Cores: 8	4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps	No info	6.2 in, IPS, 720 x 1520 pixels, 24 bit	PowerVR GE8320, 650 MHz	microSD, microSDHC, microSDXC	Android 9.0 Pie	GPS, A-GPS, GLONASS	3 GB, 933 MHz	Nano-SIM, Nano-SIM / microSD	MediaTek Helio P22 (MT6762)	32 GB	2.0, USB Type-C	a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot	187.15
Wildfire	X	74.94 x 156.7 x 7.95 mm	160 g	3300 mAh, Li-Ion	4.1	4x 2.0 GHz ARM Cortex-A53, 4x 1.5 GHz ARM Cortex-A53, Cores: 8	1920 x 1080 pixels, 30 fps	No info	6.22 in, IPS, 720 x 1520 pixels, 24 bit	PowerVR GE8320	microSD, microSDHC, microSDXC	Android 9.0 Pie	GPS, A-GPS, GLONASS	3 GB, 4 GB	Nano-SIM / microSD, Nano-SIM	MediaTek Helio P22 (MT6762)	32 GB, 128 GB	2.0, USB Type-C	a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct	247.79
Desire	19+	74.8 x 156.5 x 8.5 mm	170 g	3850 mAh, Li-Polymer	4.2	4x 2.3 GHz ARM Cortex-A53, 4x 1.8 GHz ARM Cortex-A53, Cores: 8	4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps	No info	6.2 in, IPS, 720 x 1520 pixels, 24 bit	PowerVR GE8320, 680 MHz	microSD, microSDHC, microSDXC	Android 9.0 Pie	GPS, A-GPS, GLONASS	4 GB, 6 GB, 933 MHz	Nano-SIM, Nano-SIM / microSD	MediaTek Helio P35 (MT6765)	64 GB, 128 GB	2.0, Micro USB	b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot	286.70
HTC	U19e	75.9 x 156.5 x 8 mm	180 g	3930 mAh, Li-Polymer	5.0	2x 2.2 GHz Kryo 360, 6x 1.7 GHz Kryo 360, Cores: 8	4032 x 3024 pixels, 3840 x 2160 pixels, 30 fps	No info	6 in, OLED, 1080 x 2160 pixels, 24 bit	Qualcomm Adreno 616, 500 MHz	microSD, microSDHC, microSDXC	Android 9.0 Pie	GPS, A-GPS, GLONASS	6 GB, 1866 MHz	Nano-SIM, Nano-SIM / microSD	Qualcomm Snapdragon 710	128 GB	3.1, USB Type-C	a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct	356.17
Desire	12s	72.7 x 154.2 x 8.3 mm	150 g	3075 mAh, Li-Polymer	4.2	4x 1.4 GHz ARM Cortex-A53, 4x 1.1 GHz ARM Cortex-A53, Cores: 8	4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps	No info	5.7 in, IPS, 720 x 1440 pixels, 24 bit	Qualcomm Adreno 505	microSD, microSDHC, microSDXC	Android 8.1 Oreo	GPS, A-GPS, GLONASS	3 GB, 4 GB, 800 MHz	Nano-SIM, Nano-SIM / microSD	Qualcomm Snapdragon 435 MSM8940	32 GB, 64 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot	126.51
Exodus	1	73.95 x 156.62 x 9.7 mm	188 g	3500 mAh, Li-Polymer	5.0	4x 2.8 GHz Kryo 385, 4x 1.8 GHz Kryo 385, Cores: 8	4032 x 3024 pixels, 3840 x 2160 pixels, 60 fps	No info	6 in, Super LCD 6, 1440 x 2880 pixels, 24 bit	Qualcomm Adreno 630, 710 MHz	microSD, microSDHC, microSDXC	Android 8.0 Oreo	GPS, A-GPS, GLONASS, BeiDou	6 GB, 1866 MHz	Nano-SIM, Nano-SIM / microSD	Qualcomm Snapdragon 845	128 GB	3.1, USB Type-C	a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display	995.00
U12	Life	76.65 x 158.5 x 8.3 mm	175 g	3600 mAh, Li-Polymer	5.0	4x 1.8 GHz Kryo 260, 4x 1.6 GHz Kryo 260, Cores: 8	4608 x 3456 pixels, 3840 x 2160 pixels, 30 fps	No info	6 in, IPS, 1080 x 2160 pixels, 24 bit	Qualcomm Adreno 509	microSD, microSDHC, microSDXC	Android 8.1 Oreo	GPS, A-GPS, GLONASS	4 GB, 6 GB, 1333 MHz	Nano-SIM, Nano-SIM / microSD	Qualcomm Snapdragon 636	64 GB, 128 GB	2.0, USB Type-C	a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct	209.95
HTC	U12+	73.9 x 156.6 x 9.7 mm	188 g	3500 mAh, Li-Polymer	5.0	4x 2.8 GHz Kryo 385, 4x 1.8 GHz Kryo 385, Cores: 8	4032 x 3024 pixels, 3840 x 2160 pixels, 60 fps	No info	6 in, Super LCD 6, 1440 x 2880 pixels, 24 bit	Qualcomm Adreno 630, 710 MHz	microSD, microSDHC, microSDXC	Android 8.0 Oreo	GPS, A-GPS, GLONASS, BeiDou	6 GB, 1866 MHz	Nano-SIM, Nano-SIM / microSD	Qualcomm Snapdragon 845	64 GB, 128 GB	3.1, USB Type-C	a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display	529.87
Desire	12+	76.6 x 158.2 x 8.4 mm	157 g	2965 mAh, Li-Polymer	4.2	ARM Cortex-A53, 1800 MHz, Cores: 8	4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps	No info	6 in, IPS, 720 x 1440 pixels, 24 bit	Qualcomm Adreno 506	microSD, microSDHC, microSDXC	Android 7.0 Nougat	GPS, A-GPS, GLONASS	3 GB, 933 MHz	Nano-SIM, Nano-SIM / microSD	Qualcomm Snapdragon 450	32 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot	157.72
U11	EYEs	74.99 x 157.9 x 8.5 mm	185 g	3930 mAh, Li-Polymer	4.2	4x 1.8 GHz ARM Cortex-A72, 4x 1.4 GHz ARM Cortex-A53, Cores: 8	4032 x 3024 pixels, 3840 x 2160 pixels, 30 fps	No info	6 in, Super LCD 5, 1080 x 2160 pixels, 24 bit	Qualcomm Adreno 510, 550 MHz	microSD, microSDHC, microSDXC	Android 7.1 Nougat	GPS, A-GPS, GLONASS, BeiDou	4 GB, 933 MHz	Nano-SIM, Nano-SIM / microSD	Qualcomm Snapdragon 652 MSM8976	64 GB	2.0, USB Type-C	a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct	247.81
HTC	U11+	75.9 x 153.9 x 7.9 mm	169 g	3930 mAh, Li-Polymer	5.0	4x 2.45 GHz Kryo 280, 4x 1.9 GHz Kryo 280, Cores: 8	4032 x 3024 pixels, 3840 x 2160 pixels, 30 fps	No info	6 in, Super LCD 5, 1440 x 2880 pixels, 24 bit	Qualcomm Adreno 540, 710 MHz	microSD, microSDHC, microSDXC	Android 8.0 Oreo	GPS, A-GPS, GLONASS, BeiDou	4 GB, 6 GB, 1866 MHz	Nano-SIM, Nano-SIM / microSD	Qualcomm Snapdragon 835 MSM8998	64 GB, 128 GB	3.1, USB Type-C	a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display	329.03
U11	Life	72.9 x 149.09 x 8.1 mm	142 g	2600 mAh, Li-Polymer	5.0	4x 2.2 GHz ARM Cortex-A53, 4x 1.8 GHz ARM Cortex-A53, Cores: 8	4656 x 3496 pixels, 3840 x 2160 pixels, 30 fps	No info	5.2 in, Super LCD 5, 1080 x 1920 pixels, 24 bit	Qualcomm Adreno 508	microSD, microSDHC, microSDXC	Android 7.1.1 Nougat	GPS, A-GPS, GLONASS, BeiDou	3 GB, 1333 MHz	Nano-SIM	Qualcomm Snapdragon 630	32 GB	2.0, USB Type-C	a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display	191.74
Desire	550	70.9 x 146.8 x 8.4 mm	127 g	2200 mAh, Li-Ion	4.1	ARM Cortex-A7, 1100 MHz, Cores: 4	3264 x 2448 pixels, 1280 x 720 pixels, 30 fps	No info	5 in, Super LCD, 720 x 1280 pixels, 24 bit	Qualcomm Adreno 304, 400 MHz	microSD, microSDHC, microSDXC	Android 6.0.1 Marshmallow	GPS, A-GPS	2 GB, 533 MHz	Nano-SIM	Qualcomm Snapdragon 210 MSM8909	16 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot	106.98
HTC	U11	75.9 x 153.9 x 7.9 mm	169 g	3000 mAh, Li-Polymer	4.2	4x 2.45 GHz Kryo 280, 4x 1.9 GHz Kryo 280, Cores: 8	4032 x 3024 pixels, 3840 x 2160 pixels, 30 fps	No info	5.5 in, Super LCD 5, 1440 x 2560 pixels, 24 bit	Qualcomm Adreno 540, 710 MHz	microSD, microSDHC, microSDXC	Android 7.1.1 Nougat	GPS, A-GPS, GLONASS, BeiDou	4 GB, 6 GB, 1866 MHz	Nano-SIM, Nano-SIM / microSD	Qualcomm Snapdragon 835 MSM8998	64 GB, 128 GB	3.1, USB Type-C	a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct, Wi-Fi Display	231.47
U	Ultra	79.79 x 162.41 x 7.99 mm	170 g	3000 mAh, Li-Polymer	4.2	2x 2.15 GHz Kryo, 2x 1.6 GHz Kryo, Cores: 4	4048 x 3036 pixels, 3840 x 2160 pixels, 30 fps	No info	5.7 in, Super LCD 5, 1440 x 2560 pixels, 24 bit	Qualcomm Adreno 530, 624 MHz	microSD, microSDHC, microSDXC	Android 7.0 Nougat	GPS, A-GPS, GLONASS, BeiDou	4 GB, 1866 MHz	Nano-SIM, Nano-SIM / microSD	Qualcomm Snapdragon 821 MSM8996 Pro	64 GB, 128 GB	3.1, USB Type-C	a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct	214.94
U	Play	72.9 x 145.99 x 7.99 mm	145 g	2500 mAh, Li-Polymer	4.2	4x 2.0 GHz ARM Cortex-A53, 4x 1.2 GHz ARM Cortex-A53, Cores: 8	4608 x 3456 pixels, 1920 x 1080 pixels, 30 fps	No info	5.2 in, Super LCD, 1080 x 1920 pixels, 24 bit	ARM Mali-T860 MP2, 700 MHz, Cores: 2	microSD, microSDHC, microSDXC	Android 7.0 Nougat	GPS, A-GPS, GLONASS	3 GB, 4 GB, 933 MHz	Nano-SIM, Nano-SIM / microSD	MediaTek Helio P10 (MT6755)	32 GB, 64 GB	2.0, USB Type-C	a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct	134.36
10	Evo	77.3 x 153.59 x 8.09 mm	174 g	3200 mAh, Li-Polymer	4.1	4x 2.0 GHz ARM Cortex-A57, 4x 1.5 GHz ARM Cortex-A53, Cores: 8	4672 x 3504 pixels, 3840 x 2160 pixels, 30 fps	No info	5.5 in, Super LCD 3, 1440 x 2560 pixels, 24 bit	Qualcomm Adreno 430, 650 MHz	microSD, microSDHC, microSDXC	Android 7.0 Nougat	GPS, A-GPS, GLONASS	3 GB, 1600 MHz	Nano-SIM	Qualcomm Snapdragon 810 MSM8994 v2.1	32 GB, 64 GB	2.0, USB Type-C	a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct	111.36
HTC	Bolt	77.2 x 153.9 x 8.13 mm	174 g	3200 mAh, Li-Polymer	4.1	4x 2.0 GHz ARM Cortex-A57, 4x 1.5 GHz ARM Cortex-A53, Cores: 8	4672 x 3504 pixels, 3840 x 2160 pixels, 30 fps	No info	5.5 in, Super LCD 3, 1440 x 2560 pixels, 24 bit	Qualcomm Adreno 430, 650 MHz	microSD, microSDHC, microSDXC	Android 7.0 Nougat	GPS, A-GPS, GLONASS	3 GB, 1600 MHz	Nano-SIM	Qualcomm Snapdragon 810 MSM8994 v2.1	32 GB	2.0, USB Type-C	a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct	92.71
10	Lifestyle	76.9 x 156.9 x 7.7 mm	155 g	2700 mAh, Li-Ion	4.1	ARM Cortex-A7, 1600 MHz, Cores: 4	4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps	No info	5.5 in, Super LCD, 720 x 1280 pixels, 24 bit	Qualcomm Adreno 305, Cores: 1	microSD, microSDHC, microSDXC	Android 6.0 Marshmallow	GPS, A-GPS, GLONASS	2 GB, 3 GB, 533 MHz	Nano-SIM	Qualcomm Snapdragon 400 MSM8928	16 GB, 32 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot	253.70
10	Pro	76 x 156.5 x 7.86 mm	165 g	3000 mAh, Li-Ion	4.2	4x 2.0 GHz ARM Cortex-A53, 4x 1.2 GHz ARM Cortex-A53, Cores: 8	5384 x 3752 pixels, 1920 x 1080 pixels, 30 fps	No info	5.5 in, IPS, 1080 x 1920 pixels, 24 bit	ARM Mali-T860 MP2, 700 MHz, Cores: 2	microSD, microSDHC, microSDXC	Android 6.0 Marshmallow	GPS, A-GPS, GLONASS	4 GB, 933 MHz	Nano-SIM	MediaTek Helio P10 (MT6755)	64 GB	2.0, Micro USB	a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct	161.92
Desire	628	70.9 x 146.9 x 8.19 mm	142 g	2200 mAh, Li-Ion	4.1	ARM Cortex-A53, 1300 MHz, Cores: 8	4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps	No info	5 in, LCD, 720 x 1280 pixels, 24 bit	ARM Mali-T720 MP3, 450 MHz, Cores: 3	microSD, microSDHC, microSDXC	Android 5.1 Lollipop	GPS, A-GPS, GLONASS	3 GB, 666 MHz	Nano-SIM	MediaTek MT6753	32 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot	86.66
Desire	830	78.9 x 157.5 x 7.79 mm	156 g	2800 mAh, Li-Polymer	4.1	ARM Cortex-A53, 1500 MHz, Cores: 8	4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps	No info	5.5 in, LCD, 1080 x 1920 pixels, 24 bit	PowerVR G6200, 700 MHz	microSD, microSDHC, microSDXC	Android 6.0 Marshmallow	GPS, A-GPS, GLONASS	3 GB, 933 MHz	Nano-SIM	MediaTek Helio X10 (MT6795)	32 GB	2.0, Micro USB	a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct	141.36
10	Lifestyle	71.9 x 145.9 x 9 mm	161 g	3000 mAh, Li-Polymer	4.2	4x 1.8 GHz ARM Cortex-A72, 4x 1.4 GHz ARM Cortex-A53, Cores: 8	4032 x 3024 pixels, 3840 x 2160 pixels, 30 fps	No info	5.2 in, Super LCD 5, 1440 x 2560 pixels, 24 bit	Qualcomm Adreno 510, 550 MHz	microSD, microSDHC, microSDXC	Android 6.0.1 Marshmallow	GPS, A-GPS, GLONASS, BeiDou	3 GB, 933 MHz	Nano-SIM	Qualcomm Snapdragon 652 MSM8976	32 GB	2.0, USB Type-C	a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct	137.77
HTC	10	71.9 x 145.9 x 9 mm	161 g	3000 mAh, Li-Polymer	4.2	2x 2.15 GHz Kryo, 2x 1.6 GHz Kryo, Cores: 4	4032 x 3024 pixels, 3840 x 2160 pixels, 30 fps	No info	5.2 in, Super LCD 5, 1440 x 2560 pixels, 24 bit	Qualcomm Adreno 530, 624 MHz	microSD, microSDHC, microSDXC	Android 6.0.1 Marshmallow	GPS, A-GPS, GLONASS, BeiDou	4 GB, 1866 MHz	Nano-SIM	Qualcomm Snapdragon 820 MSM8996	32 GB, 64 GB	3.1, USB Type-C	a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct	115.28
Desire	530	70.9 x 146.9 x 8.3 mm	140 g	2200 mAh, Li-Ion	4.1	ARM Cortex-A7, 1100 MHz, Cores: 4	3264 x 2448 pixels, 1280 x 720 pixels, 30 fps	No info	5 in, Super LCD, 720 x 1280 pixels, 24 bit	Qualcomm Adreno 304, 400 MHz	microSD, microSDHC, microSDXC	Android 6.0 Marshmallow	GPS, A-GPS	1.5 GB, 533 MHz	Nano-SIM	Qualcomm Snapdragon 210 MSM8909	16 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot	70.50
One	X9	75.9 x 153.9 x 7.99 mm	170 g	3000 mAh, Li-Polymer	4.1	ARM Cortex-A53, 2000 MHz, Cores: 8	4160 x 1920 pixels, 3840 x 2160 pixels, 30 fps	No info	5.5 in, LCD, 1080 x 1920 pixels, 24 bit	PowerVR G6200, 700 MHz	microSD, microSDHC, microSDXC	Android 6.0 Marshmallow	GPS, A-GPS, GLONASS, BeiDou	3 GB, 933 MHz	Nano-SIM	MediaTek Helio X10 (MT6795)	32 GB, 64 GB	2.0, Micro USB	a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot	175.99
Desire	828	78.89 x 157.7 x 7.99 mm	150 g	2800 mAh, Li-Polymer	4.1	ARM Cortex-A53, 1500 MHz, Cores: 8	4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps	No info	5.5 in, LCD, 1080 x 1920 pixels, 24 bit	ARM Mali-T720 MP3, 450 MHz, Cores: 3	microSD, microSDHC, microSDXC	Android 5.1 Lollipop	GPS, A-GPS, GLONASS	2 GB, 3 GB, 666 MHz	Nano-SIM	MediaTek MT6753	16 GB, 32 GB	2.0, Micro USB	b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct	119.99
One	A9	70.8 x 145.75 x 7.26 mm	143 g	2150 mAh, Li-Ion	4.1	4x 1.5 GHz ARM Cortex-A53, 4x 1.2 GHz ARM Cortex-A53, Cores: 8	4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps	No info	5 in, AMOLED, 1080 x 1920 pixels, 24 bit	Qualcomm Adreno 405	microSD, microSDHC, microSDXC	Android 6.0 Marshmallow	GPS, A-GPS, GLONASS	2 GB, 3 GB, 933 MHz	Nano-SIM	Qualcomm Snapdragon 617 MSM8952	16 GB, 32 GB	2.0, Micro USB	a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot	270.53
Butterfly	3	72.99 x 150.99 x 9.9 mm	161 g	2700 mAh, Li-Polymer	4.1	4x 2.0 GHz ARM Cortex-A57, 4x 1.5 GHz ARM Cortex-A53, Cores: 8	5376 x 3752 pixels, 3840 x 2160 pixels, 30 fps	No info	5.2 in, Super LCD 3, 1440 x 2560 pixels, 24 bit	Qualcomm Adreno 430, 650 MHz	microSD, microSDHC, microSDXC	Android 5.0 Lollipop	GPS, A-GPS, GLONASS, BeiDou	3 GB, 1600 MHz	Nano-SIM	Qualcomm Snapdragon 810 MSM8994	32 GB	2.0, Micro USB	a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct	395.00
Desire	728	77.8 x 157.9 x 7.87 mm	153 g	2800 mAh, Li-Ion	4.1	ARM Cortex-A53, 1300 MHz, Cores: 8	4128 x 3096 pixels, 1920 x 1080 pixels, 30 fps	No info	5.5 in, IPS, 720 x 1280 pixels, 24 bit	ARM Mali-T720 MP3, 450 MHz, Cores: 3	microSD, microSDHC, microSDXC	Android 5.1.1 Lollipop	GPS, A-GPS, GLONASS	2 GB, 666 MHz	Nano-SIM	MediaTek MT6753	16 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot	133.72
Desire	626s	70.9 x 146.9 x 8.19 mm	140 g	2000 mAh, Li-Ion	4.1	ARM Cortex-A7, 1100 MHz, Cores: 4	3264 x 2448 pixels, 1280 x 720 pixels, 30 fps	No info	5 in, Super LCD, 720 x 1280 pixels, 24 bit	Qualcomm Adreno 304, 400 MHz	microSD, microSDHC, microSDXC	Android 5.1 Lollipop	GPS, A-GPS, GLONASS	1 GB, 533 MHz	Nano-SIM	Qualcomm Snapdragon 210 MSM8909	8 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot	85.44
Desire	526	70 x 140 x 9.9 mm	156 g	2000 mAh, Li-Polymer	4.1	ARM Cortex-A7, 1100 MHz, Cores: 4	3264 x 2448 pixels, 1280 x 720 pixels, 30 fps	No info	4.7 in, LCD, 540 x 960 pixels, 24 bit	Qualcomm Adreno 304, 400 MHz	microSD, microSDHC, microSDXC	Android 5.1 Lollipop	GPS, A-GPS	1.5 GB, 533 MHz	Nano-SIM	Qualcomm Snapdragon 210 MSM8909	8 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot	68.32
Desire	520	68.9 x 139.8 x 9.05 mm	150 g	2000 mAh, Li-Ion	4.1	ARM Cortex-A7, 1100 MHz, Cores: 4	3264 x 2448 pixels, 1280 x 720 pixels, 30 fps	No info	4.5 in, LCD, 480 x 854 pixels, 24 bit	Qualcomm Adreno 304, 400 MHz	microSD, microSDHC, microSDXC	Android 5.1 Lollipop	GPS, A-GPS, GLONASS	1 GB, 533 MHz	Nano-SIM	Qualcomm Snapdragon 210 MSM8909	8 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot	151.50
One	M9+	72 x 151 x 9.6 mm	168 g	2840 mAh, Li-Polymer	4.1	ARM Cortex-A53, 2200 MHz, Cores: 8	5384 x 3752 pixels, 3840 x 2160 pixels, 30 fps	No info	5.2 in, Super LCD 3, 1440 x 2560 pixels, 24 bit	PowerVR G6200, 700 MHz	microSD, microSDHC, microSDXC	Android 5.0.2 Lollipop	GPS, A-GPS, GLONASS, BeiDou	3 GB, 933 MHz	Nano-SIM	MediaTek Helio X10 (MT6795)	32 GB	2.0, Micro USB	a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct	105.70
One	E9+	76.5 x 156.5 x 7.54 mm	150 g	2800 mAh, Li-Polymer	4.1	ARM Cortex-A53, 2000 MHz, Cores: 8	5384 x 3752 pixels, 3840 x 2160 pixels, 30 fps	No info	5.5 in, LCD, 1440 x 2560 pixels, 24 bit	PowerVR G6200, 700 MHz	microSD, microSDHC, microSDXC	Android 5.0 Lollipop	GPS, A-GPS, GLONASS, BeiDou	3 GB, 933 MHz	Nano-SIM	MediaTek Helio X10 (MT6795)	32 GB	2.0, Micro USB	a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct	234.39
One	M9	69.7 x 144.6 x 9.61 mm	157 g	2840 mAh, Li-Polymer	4.1	4x 2.0 GHz ARM Cortex-A57, 4x 1.5 GHz ARM Cortex-A53, Cores: 8	5384 x 3752 pixels, 3840 x 2160 pixels, 30 fps	No info	5 in, Super LCD 3, 1080 x 1920 pixels, 24 bit	Qualcomm Adreno 430, 650 MHz	microSD, microSDHC, microSDXC	Android 5.0 Lollipop	GPS, A-GPS, GLONASS	3 GB, 1600 MHz	Nano-SIM	Qualcomm Snapdragon 810 MSM8994	32 GB	2.0, Micro USB	a, b, g, n, n 5GHz, ac, Dual band, Wi-Fi Hotspot, Wi-Fi Direct	91.30
Desire	626	70.9 x 146.9 x 8.19 mm	140 g	2000 mAh, Li-Ion	4.1	ARM Cortex-A53, 1200 MHz, Cores: 4	4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps	No info	5 in, IPS, 720 x 1280 pixels, 24 bit	Qualcomm Adreno 306, 400 MHz	microSD, microSDHC	Android 4.4.4 KitKat	GPS, A-GPS, GLONASS	1 GB, 533 MHz	Nano-SIM	Qualcomm Snapdragon 410 MSM8916	16 GB	2.0, Micro USB	b, g, n, Wi-Fi Hotspot	98.98
Desire	826	77.5 x 158 x 7.99 mm	183 g	2600 mAh, Li-Polymer	4.0	4x 1.7 GHz ARM Cortex-A53, 4x 1.0 GHz ARM Cortex-A53, Cores: 8	4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps	No info	5.5 in, Super LCD, 1080 x 1920 pixels, 24 bit	Qualcomm Adreno 405, 550 MHz	microSD, microSDHC, microSDXC	Android 5.0 Lollipop	GPS, A-GPS	2 GB, 800 MHz	Nano-SIM	Qualcomm Snapdragon 615 MSM8939	16 GB	2.0, Micro USB	a, b, g, n, n 5GHz, Dual band, Wi-Fi Hotspot, Wi-Fi Direct	112.06
